time,gf_casa,gs_casa,gf_fora,gs_fora
Athletico Paranaense,"[1, 1, 3, 0, 1, 1, 1, 4, 6, 3, 1, 6, 3, 0, 1, 4, 2, 1]","[1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 2, 5, 1, 1, 1, 0, 4, 1, 2, 0, 1, 2, 1, 0, 2]","[0, 2, 1, 1, 0, 1, 2, 1, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Atlético Goianiense,"[1, 1, 2, 4, 0, 0, 1, 3, 3, 5, 5, 6, 1, 3, 2, 0]","[1, 2, 2, 2, 1, 3, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 2, 0, 2, 1, 1, 0, 2, 3, 3, 3, 3, 2, 3, 1, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 2, 2, 0]"
Atlético Mineiro,"[1, 1, 0, 1, 4, 2, 3, 3, 1, 2, 2, 2, 3, 1, 0, 4]","[1, 1, 4, 1, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0]","[2, 2, 2, 0, 0, 1, 2, 3, 0, 3, 4, 1, 1, 2, 2, 1]","[1, 4, 1, 1, 2, 0, 2, 0, 0, 1, 1, 2, 1, 0, 0, 2]"
Bahia,"[2, 4, 1, 0, 1, 1, 1, 2, 3, 1, 1, 2, 4, 2, 3, 5, 2, 2, 5, 0]","[1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 2, 1, 2, 2, 2, 1, 2, 0, 2, 1, 2, 1, 2, 4, 2, 0, 2, 3]","[3, 2, 2, 1, 0, 1, 2, 2, 3, 4, 2, 0, 1, 0, 1, 0, 3, 1, 0, 3]"
Botafogo,"[2, 1, 1, 2, 1, 1, 3, 5, 1, 1, 2, 2, 2, 6, 2, 2, 1, 2, 2, 1]","[1, 1, 0, 1, 2, 0, 1, 1, 0, 3, 0, 1, 1, 0, 4, 2, 1, 0, 0, 0]","[1, 1, 2, 1, 0, 2, 1, 1, 2, 2, 0, 4, 1, 2, 4, 2, 1, 3, 0, 0]","[1, 2, 1, 0, 0, 1, 0, 1, 0, 3, 1, 0, 1, 1, 2, 0, 1, 0, 1, 1]"
Corinthians,"[1, 2, 0, 3, 2, 4, 0, 3, 0, 4, 3, 0, 2, 1, 1, 1]","[1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 3, 2, 0]","[1, 0, 2, 0, 2, 2, 0, 0, 0, 1, 2, 0, 3, 2, 4, 0, 0, 0]","[1, 1, 2, 2, 0, 1, 1, 1, 2, 1, 0, 0, 0, 2, 1, 1, 1, 1]"
Criciúma,"[1, 2, 2, 2, 1, 0, 1, 1, 2, 2, 2, 1, 1, 1, 2, 4, 2]","[1, 1, 2, 5, 2, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0]","[1, 2, 1, 0, 4, 1, 2, 1, 1, 1, 0, 0, 1, 3, 0, 2]","[2, 1, 3, 1, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 1, 1]"
Cruzeiro,"[2, 2, 2, 1, 1, 3, 3, 3, 1, 3, 2, 0, 3, 1]","[0, 0, 1, 0, 0, 1, 2, 3, 3, 1, 0, 2, 0, 1]","[1, 1, 0, 0, 1, 3, 0, 0, 1, 0, 2, 0, 2, 0, 3, 2, 2]","[2, 4, 0, 2, 0, 0, 0, 3, 1, 0, 2, 0, 0, 2, 1, 0, 1]"
Cuiabá,"[1, 0, 5, 0, 0, 1, 1, 4, 3, 0, 0, 1, 1, 4, 4, 5, 2, 3, 1, 5, 1]","[1, 0, 0, 0, 1, 0, 1, 2, 0, 2, 3, 1, 0, 1, 3, 0, 2, 0, 1, 0, 1]","[1, 1, 1, 5, 1, 0, 1, 0, 0, 0, 2, 1, 4, 1, 0, 4, 2, 2, 2, 2]","[1, 0, 2, 2, 0, 1, 1, 1, 2, 4, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2]"
Flamengo,"[2, 2, 2, 3, 4, 2, 1, 0, 2, 2, 1, 0, 3, 2, 4, 3, 1, 4]","[1, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 6, 1, 0, 1, 1, 0, 2, 1, 3, 2, 3, 0, 2, 0, 1]","[2, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
