time,gf_casa,gs_casa,gf_fora,gs_fora
Athletico Paranaense,40,11,25,15
Atlético Goianiense,37,17,30,17
Atlético Mineiro,32,20,26,18
Bahia,42,8,33,31
Botafogo,40,19,32,18
Corinthians,27,13,19,20
Criciúma,28,20,20,17
Cruzeiro,27,14,18,19
Cuiabá,43,21,30,20
Flamengo,38,6,30,13
Fluminense,31,22,11,18
Fortaleza,44,15,29,30
Grêmio,36,16,12,17
Internacional,23,10,22,9
Juventude,24,8,15,23
Palmeiras,37,15,25,11
Red Bull Bragantino,28,14,24,26
São Paulo,27,12,31,21
Vasco,30,22,15,22
Vitória,37,22,14,17
